id,name,x,y,location_description,comments
50,taxa_inventory__50,164.673250168562,-20.4727220535278,"Diaouhé, 500m,  Pouébo",
52,taxa_inventory__52,165.240118615329,-20.9569787979126,"Saint-Thomas, Rive Gauche, Poindimié",
51,taxa_inventory__51,164.682068936527,-20.4725503921509,"Diahoué, 200m, Pouébo",
61,taxa_inventory__61,164.480264894664,-20.7897055149078,"Siba Nord-Est, Kaala-Gomen","Creek non dénommé au Nord Est  du sommet Siba, face à Ouaco.
Forêt rivulaire sur UM, serpentine."
55,taxa_inventory__55,165.226611848921,-21.4765495061874,"Kapuidéa, FS1, Poya",
41,taxa_inventory__41,164.303923901171,-20.4554164409637,"Haute-Néhoué,  Koumac","Inventaire réalisé en présence de Christian PAPINEAU
Forêt sèche calcaire en bord de creek."
42,taxa_inventory__42,164.30387025699,-20.4508030414581,"L'Ilot,  Néhoué,  Koumac","Inventaire réalisé en présence de Christian PAPINEAU
Forêt sèche calcaire en bord de creek."
62,taxa_inventory__62,164.904880039394,-20.998831987381,Tiaoué - Napwé Panaky,"végétation forestière rivulaire ""mesophylle"". beaucoup d'arthrocliantus microbotrys sur les rochers. Grosse Population de Podonephellium (avec beaucoup de plantules). Présence de chevaux sauvages. "
38,taxa_inventory__38,164.334235545248,-20.5242043733597,"Pagui,  Koumac",Forêt sur sol calcaire au sud le Vierge de Koumac.
44,taxa_inventory__44,165.192585345358,-21.1158138513565,"Nadu,  Ponérihouen",
45,taxa_inventory__45,165.192188378423,-21.1260277032852,"Nogromou,  Ponérihouen",
56,taxa_inventory__56,165.234491340816,-21.4814043045044,"Kapuidéa, FS2, Poya",
37,taxa_inventory__37,165.308983,-21.4182167,"creek Xwêvi, Poya sud",Inventaire lié à l'IRF DF26 et arbres proches.
43,taxa_inventory__43,165.194382425398,-21.1339026689529,"Rivière Narajaa,  Ponérihouen",Arbre en bord de rivière
47,taxa_inventory__47,165.149390213192,-21.150130033493,"Narajaa,  Ponérihouen",
48,taxa_inventory__48,165.581274982542,-21.4841938018799,"Sud du Pic de Téné,  Bourail",
49,taxa_inventory__49,164.683919660747,-20.485897064209,"Oulébeng,  Pouébo",
54,taxa_inventory__54,165.225324388593,-21.4760345220566,"Kapuidéa, riv.1, Poya",
58,taxa_inventory__58,164.991706665605,-21.224690079689,"Pouembout, retenue d'eau de la salée",forêt rivulaire avec Pandanus
59,taxa_inventory__59,165.061365477741,-21.2883388996124,"Pouembout, vallée de Ouaté, creek du Mont Graunda",forêt rivulaire 
39,taxa_inventory__39,164.693056102842,-20.781632065773,"Pic du Wédièp,  Voh","Forêt humide dégradée par les cerfs et le manque de pluies.
Inventaire réalisé avec Laure Barrabé."
65,taxa_inventory__65,165.558586532061,-21.4919389486477,"Bourail,  Haute-téné",
57,taxa_inventory__57,164.906473271549,-21.0025763511658,"Koohné, tribu de tiaoué",
64,taxa_inventory__64,164.923870079219,-20.9489858150482,"Koohné, Atéou, juste au dessous de la croix","forêt humide sur forte pente, surement serpentineuse. "
63,taxa_inventory__63,165.523417,-21.172646,"Houailou, col de Hô, ",Forêt entre la RP3 et des habitations. Forêt bien conservé à sous-bois dense. 
66,taxa_inventory__66,165.976438467,-21.473557251,"Canala, presqu'île de Ouassé, coté baie de canala","maquis arbustif dense  ou éparse. éboulis rocheux.
Avec BGN sud minier (Philippe Nekotrotro)"
67,taxa_inventory__67,165.990260895,-21.478747828,"Canala, presqu'île de Ouassé, versant baie de canala",maquis arbustif dense
68,taxa_inventory__68,164.910273877904,-21.0373029112816,"Koohné, tiaoué, entre poata et cawiku. ",forêt sèche avec de gros arbres. sous-bois avec de la régénération naturelle (surtout arytera et cupaniopsis)
72,taxa_inventory__72,165.239264,-21.357613,"Poya, contrefort du Mont krapé, (mine pinpin)",petit galerie forestière le long d'un creek sur massif minier. nombreuses trace de cerfs. Canopée inégale : grand arbre emergent et canopée basse (maquis arbustif haut).
69,taxa_inventory__69,165.207758601755,-21.260706782341,"Poya, route de Nétéa, Konou (georep)","petit thalweg forestier à canopée discontinue. petit creek à sec, trace de cerf et espèce envahissante (lantana camara)"
70,taxa_inventory__70,165.204110797495,-21.2694239616394,"Poya, Route de Nétéa,",Petit Patch arboré en bord de route (en recolonisation?) sur forte pente. presence de fause agave (facraea foetida)
73,taxa_inventory__73,165.240654,-21.357905,"Poya, contrefort du Mont krapé, (mine pinpin)",le long de la rivière engravé par la mine. 
74,taxa_inventory__74,165.184975918382,-21.3396817445755,"Poya, route de Ouendji","belle place ombragé, herbeuse à l'ombre de grand Semecarpus atra (15m), zone humide surement inondable. avec cordia dichotoma, Sammanea saman et Syzygium cuminii"
71,taxa_inventory__71,165.204798742197,-21.275480389595,"Poya, route de Nétéa, avant le col de peremuu","Petit thalweg forestier, canopée continue assez haute (20m). Présence de grand arbre. forte pente. alt: 165m"
75,taxa_inventory__75,165.197125,-20.875905,"Poindimié, tiwaka, vallée de Tiudu (georep)","forêt humide, grands arbres, canopée de 15-20 m, sol surement hypermagnesien. "
76,taxa_inventory__76,165.199697,-20.874919,"Poindimié, tiwaka, vallée de tiudu, (portail propriété Aubry)","patch forestier sur pente le long de la piste menant à la propriété Aubry, sol hypermagnesien (serpentine). "
77,taxa_inventory__77,165.349013,-20.946956,"Poindimié, vallée d'ina, tigu (georep)","talweg forestier le long d'un Creek, , canopée 15 m, présence d'espèces envahissantes (lantana, goyavier de chine). énorme  (30 cm de diamètre) liane (entada )"
78,taxa_inventory__78,165.3527,-20.94486,"Poindimié, vallée d'ina, le long de la route","galerie forestière le long d'un petit creek.
présence de goyavier de chine (population grandissante tout le long de la vallée)."
