occurrence_id,occurrence_identifier
66531,taxa_inventory_occ_66531
66532,taxa_inventory_occ_66532
66533,taxa_inventory_occ_66533
66534,taxa_inventory_occ_66534
66535,taxa_inventory_occ_66535
68055,taxa_inventory_occ_68055
68056,taxa_inventory_occ_68056
68057,taxa_inventory_occ_68057
68058,taxa_inventory_occ_68058
68059,taxa_inventory_occ_68059
68060,taxa_inventory_occ_68060
68061,taxa_inventory_occ_68061
68062,taxa_inventory_occ_68062
68063,taxa_inventory_occ_68063
68064,taxa_inventory_occ_68064
68065,taxa_inventory_occ_68065
68066,taxa_inventory_occ_68066
68067,taxa_inventory_occ_68067
68068,taxa_inventory_occ_68068
68069,taxa_inventory_occ_68069
68070,taxa_inventory_occ_68070
68071,taxa_inventory_occ_68071
83242,taxa_inventory_occ_83242
83243,taxa_inventory_occ_83243
83244,taxa_inventory_occ_83244
83245,taxa_inventory_occ_83245
83246,taxa_inventory_occ_83246
83247,taxa_inventory_occ_83247
83248,taxa_inventory_occ_83248
83249,taxa_inventory_occ_83249
83250,taxa_inventory_occ_83250
83251,taxa_inventory_occ_83251
83252,taxa_inventory_occ_83252
83253,taxa_inventory_occ_83253
83254,taxa_inventory_occ_83254
83255,taxa_inventory_occ_83255
83256,taxa_inventory_occ_83256
83257,taxa_inventory_occ_83257
83258,taxa_inventory_occ_83258
83259,taxa_inventory_occ_83259
83260,taxa_inventory_occ_83260
83261,taxa_inventory_occ_83261
83262,taxa_inventory_occ_83262
83263,taxa_inventory_occ_83263
83264,taxa_inventory_occ_83264
83265,taxa_inventory_occ_83265
83266,taxa_inventory_occ_83266
83267,taxa_inventory_occ_83267
83268,taxa_inventory_occ_83268
83269,taxa_inventory_occ_83269
83270,taxa_inventory_occ_83270
83271,taxa_inventory_occ_83271
83272,taxa_inventory_occ_83272
83273,taxa_inventory_occ_83273
83274,taxa_inventory_occ_83274
83275,taxa_inventory_occ_83275
83276,taxa_inventory_occ_83276
83277,taxa_inventory_occ_83277
83279,taxa_inventory_occ_83279
83280,taxa_inventory_occ_83280
83281,taxa_inventory_occ_83281
83282,taxa_inventory_occ_83282
83283,taxa_inventory_occ_83283
83284,taxa_inventory_occ_83284
83285,taxa_inventory_occ_83285
83286,taxa_inventory_occ_83286
83287,taxa_inventory_occ_83287
83288,taxa_inventory_occ_83288
83289,taxa_inventory_occ_83289
83290,taxa_inventory_occ_83290
83291,taxa_inventory_occ_83291
83292,taxa_inventory_occ_83292
83293,taxa_inventory_occ_83293
83294,taxa_inventory_occ_83294
83295,taxa_inventory_occ_83295
83296,taxa_inventory_occ_83296
83297,taxa_inventory_occ_83297
83298,taxa_inventory_occ_83298
83299,taxa_inventory_occ_83299
83300,taxa_inventory_occ_83300
83301,taxa_inventory_occ_83301
83302,taxa_inventory_occ_83302
83303,taxa_inventory_occ_83303
83304,taxa_inventory_occ_83304
83305,taxa_inventory_occ_83305
83306,taxa_inventory_occ_83306
83307,taxa_inventory_occ_83307
83308,taxa_inventory_occ_83308
83309,taxa_inventory_occ_83309
83310,taxa_inventory_occ_83310
83311,taxa_inventory_occ_83311
83312,taxa_inventory_occ_83312
83313,taxa_inventory_occ_83313
83314,taxa_inventory_occ_83314
83315,taxa_inventory_occ_83315
83316,taxa_inventory_occ_83316
83317,taxa_inventory_occ_83317
83318,taxa_inventory_occ_83318
83319,taxa_inventory_occ_83319
83320,taxa_inventory_occ_83320
83321,taxa_inventory_occ_83321
83322,taxa_inventory_occ_83322
83323,taxa_inventory_occ_83323
83324,taxa_inventory_occ_83324
83325,taxa_inventory_occ_83325
83326,taxa_inventory_occ_83326
83327,taxa_inventory_occ_83327
83328,taxa_inventory_occ_83328
83329,taxa_inventory_occ_83329
83330,taxa_inventory_occ_83330
83331,taxa_inventory_occ_83331
83332,taxa_inventory_occ_83332
83333,taxa_inventory_occ_83333
83334,taxa_inventory_occ_83334
83335,taxa_inventory_occ_83335
83336,taxa_inventory_occ_83336
83337,taxa_inventory_occ_83337
83338,taxa_inventory_occ_83338
83339,taxa_inventory_occ_83339
83340,taxa_inventory_occ_83340
83341,taxa_inventory_occ_83341
83342,taxa_inventory_occ_83342
83343,taxa_inventory_occ_83343
83344,taxa_inventory_occ_83344
83345,taxa_inventory_occ_83345
83346,taxa_inventory_occ_83346
83347,taxa_inventory_occ_83347
83348,taxa_inventory_occ_83348
83349,taxa_inventory_occ_83349
83350,taxa_inventory_occ_83350
83351,taxa_inventory_occ_83351
83352,taxa_inventory_occ_83352
83353,taxa_inventory_occ_83353
83354,taxa_inventory_occ_83354
83355,taxa_inventory_occ_83355
83356,taxa_inventory_occ_83356
83357,taxa_inventory_occ_83357
83358,taxa_inventory_occ_83358
83359,taxa_inventory_occ_83359
83360,taxa_inventory_occ_83360
83361,taxa_inventory_occ_83361
83362,taxa_inventory_occ_83362
83363,taxa_inventory_occ_83363
83364,taxa_inventory_occ_83364
83365,taxa_inventory_occ_83365
83366,taxa_inventory_occ_83366
83367,taxa_inventory_occ_83367
83368,taxa_inventory_occ_83368
83369,taxa_inventory_occ_83369
83370,taxa_inventory_occ_83370
83371,taxa_inventory_occ_83371
83372,taxa_inventory_occ_83372
83373,taxa_inventory_occ_83373
83374,taxa_inventory_occ_83374
83375,taxa_inventory_occ_83375
83376,taxa_inventory_occ_83376
83377,taxa_inventory_occ_83377
83378,taxa_inventory_occ_83378
83379,taxa_inventory_occ_83379
83380,taxa_inventory_occ_83380
83381,taxa_inventory_occ_83381
83382,taxa_inventory_occ_83382
83383,taxa_inventory_occ_83383
83384,taxa_inventory_occ_83384
83385,taxa_inventory_occ_83385
83386,taxa_inventory_occ_83386
83387,taxa_inventory_occ_83387
83388,taxa_inventory_occ_83388
83390,taxa_inventory_occ_83390
88882,taxa_inventory_occ_88882
88883,taxa_inventory_occ_88883
88884,taxa_inventory_occ_88884
88885,taxa_inventory_occ_88885
88886,taxa_inventory_occ_88886
88887,taxa_inventory_occ_88887
88888,taxa_inventory_occ_88888
88889,taxa_inventory_occ_88889
88890,taxa_inventory_occ_88890
88891,taxa_inventory_occ_88891
88892,taxa_inventory_occ_88892
88893,taxa_inventory_occ_88893
88894,taxa_inventory_occ_88894
88895,taxa_inventory_occ_88895
88896,taxa_inventory_occ_88896
88897,taxa_inventory_occ_88897
88898,taxa_inventory_occ_88898
88899,taxa_inventory_occ_88899
88900,taxa_inventory_occ_88900
88901,taxa_inventory_occ_88901
88902,taxa_inventory_occ_88902
88903,taxa_inventory_occ_88903
88904,taxa_inventory_occ_88904
88905,taxa_inventory_occ_88905
88906,taxa_inventory_occ_88906
88907,taxa_inventory_occ_88907
88930,taxa_inventory_occ_88930
88931,taxa_inventory_occ_88931
88932,taxa_inventory_occ_88932
88933,taxa_inventory_occ_88933
88934,taxa_inventory_occ_88934
88935,taxa_inventory_occ_88935
88936,taxa_inventory_occ_88936
88937,taxa_inventory_occ_88937
88938,taxa_inventory_occ_88938
88939,taxa_inventory_occ_88939
88940,taxa_inventory_occ_88940
