"","X","Y","Presence","alizes","altitude","cti","ensoleillement","pente","substrat"
"19786",166.39741,-21.88555,1,0.225730829110283,0.726027397260274,0.210248886882499,0.73484370333464,0.286118105189214,0.00392156862745098
"21051",166.414563,-21.883676,1,0.208071548988939,0.857409713574097,0.258724258072425,0.960159897261027,0.0820311022996104,0.00392156862745098
"21147",166.41309,-21.88024,1,0.206321586378186,0.837484433374844,0.224098000598304,0.904272696113529,0.186141422157391,0.00392156862745098
"21629",166.510214,-21.964708,1,0.191999674914384,0.677459526774595,0.283681723011008,0.823890743532836,0.126440654178004,0.00392156862745098
"21655",166.508324,-21.966025,1,0.198119433637909,0.610211706102117,0.226365493979597,0.875171077447391,0.0942673950580783,0.00392156862745098
"22345",166.561845,-21.95417,1,0.127012237591584,0.361768368617684,0.371506863661627,0.842513407231012,0.06790932687079,0.00392156862745098
"22680",166.605408,-22.069781,1,0.208071548988939,0.223536737235367,0.278942848861738,0.845023671233223,0.190453732559918,0.00392156862745098
"22937",166.659935,-22.020349,1,0.0798042129511072,0.541095890410959,0.271361306692964,0.813358606371253,0.174764795493258,0.00392156862745098
"32624",164.7688389,-20.57575556,1,0.072242024369976,0.731631382316314,0.235209157085575,0.958110803456598,0.175193703188586,0.00784313725490196
"32700",166.5348889,-21.96286111,1,0.166675722806517,0.783935242839352,0.240955369272423,0.933934113772892,0.141960598271948,0.00392156862745098
"32714",166.53525,-21.9635,1,0.166675722806517,0.785803237858032,0.368435003624707,0.940080041457615,0.138748156319506,0.00392156862745098
"32735",166.535,-21.96516667,1,0.169313109170991,0.818181818181818,0.270450320903175,0.958041183130402,0.0725133271544506,0.00392156862745098
"38206",165.4964722,-21.36066667,1,0.280790939685613,0.400996264009963,0.239817252475865,0.700818702804429,0.14440812066755,0.00784313725490196
"5",167.385069661456,-21.1141566495658,0,0.0398933025320032,0.0292652552926526,0.404126097516795,0.826869139765448,0.00232317468323166,0
"12",166.188959603185,-21.6096374446805,0,0.0402008249680279,0.260896637608966,0.30545527000041,0.858698263636833,0.14507732562651,0.00392156862745098
"14",164.926343252507,-21.1906501114906,0,0.795362016508054,0.0429638854296389,0.294686775616778,0.839693268313965,0.0789489641222395,0.00784313725490196
"29",164.299687322932,-20.4094293989839,0,0.129649665224544,0.0834371108343711,0.246908083276128,0.795801133663871,0.0836569027716594,0.00784313725490196
"35",165.395495108809,-21.4504857259858,0,0.528013378032422,0.225404732254047,0.291536864343287,0.675757834978038,0.278694942229953,0.00392156862745098
"41",166.938629922085,-22.1246303142502,0,0.0129819426578247,0.00435865504358655,0.307509467863081,0.817832099108918,0.0201772541343012,0.00784313725490196
"45",165.814720299216,-21.5360899208018,0,0.227880435733578,0.26027397260274,0.235988238193901,0.882308321221223,0.0964681474725728,0.00784313725490196
"56",164.905791673461,-21.245266676499,0,0.895707824405786,0.0099626400996264,0.439841961703521,0.820019724469824,0.01583613444453,0.00784313725490196
"60",164.771188048704,-20.9337806436319,0,0.531538256931427,0.0952677459526775,0.262208969075604,0.84548168273102,0.154237492621861,0.00392156862745098
"67",165.411378090522,-21.0896964952955,0,0.0300012500224225,0.169987546699875,0.218434801340329,0.809692902807253,0.246207689876882,0.00784313725490196
"70",164.897952781916,-21.2137161520568,0,0.86401797457135,0.012453300124533,0.474605142801703,0.823522787216238,0.0159266136864301,0.00784313725490196
"73",167.165854821021,-20.7468630399867,0,0.137749279534782,0.0174346201743462,0.58016007030031,0.824077687001324,0.00288406750605854,0
"116",165.953076045967,-21.5342442351824,0,0.0348235310042427,0.0877957658779577,0.264402991243987,0.839682438485446,0.16612584359819,0.00392156862745098
"117",165.407496722592,-21.2347656043104,0,0.198059387991663,0.321295143212951,0.440535186451618,0.8687576916762,0.0712757236422213,0.00784313725490196
"119",166.932983512703,-22.3816645850984,0,0.156313522516141,0.0678704856787049,0.316129606730925,0.823270477997044,0.0158050461817952,0.00392156862745098
"125",165.306544738702,-21.4134602148765,0,0.592120668611091,0.288293897882939,0.235316291472401,0.660493191680036,0.311843095102404,0.00392156862745098
"134",165.386067447516,-21.2468205134931,0,0.237270322995779,0.192403486924035,0.448420460522906,0.773617519207313,0.268482151927625,0.00784313725490196
"156",167.298396301073,-21.1172345972685,0,0.196171588639699,0.0286425902864259,0.427401243430624,0.827179723776199,0.00330554154161604,0
"160",166.236001850433,-21.983875155037,0,0.560669735794755,0.0149439601494396,0.350615238395193,0.822249444342772,0.0125653538040521,0
"176",168.069715534278,-21.5210505306988,0,0.0764492226503018,0.026774595267746,0.394410874991384,0.827379430971157,0.00722000136990035,0
"200",164.540001713892,-20.7159799008239,0,0.550180222226942,0.277708592777086,0.223400157659681,0.706872641410002,0.252374291474706,0.00392156862745098
"206",166.356793032377,-21.702157230959,0,0.0224390683193723,0.218555417185554,0.232035849524544,0.632257959295445,0.29284938969677,0.00392156862745098
"219",166.934353564689,-22.2869006049558,0,0.149868609396207,0.183686176836862,0.238286589484617,0.778069932457325,0.138020070511241,0.00392156862745098
"225",165.73010113148,-21.4908433854952,0,0.240010247790293,0.142590286425903,0.295064589402024,0.713632452767282,0.286937995390666,0.00784313725490196
"228",167.374399586058,-20.9565490360083,0,0.00492479189953556,0.0417185554171856,0.255280843615932,0.834836799318958,0.0974988185866986,0
"232",167.338703846196,-21.0914068322098,0,0.129179520882789,0.0242839352428394,0.415639360998152,0.826803193845357,0.00288406750605854,0
"237",165.518081964957,-21.6507315738508,0,0.729470276621007,0.0529265255292653,0.242899264898569,0.838764094812312,0.119471549502508,0.00784313725490196
"240",164.45594238408,-20.512602134915,0,0.313797254204076,0.0952677459526775,0.22839343303994,0.849046501285301,0.160020818233489,0.00784313725490196
"261",164.675108197446,-20.7732446501709,0,0.385484272470168,0.23412204234122,0.219794743949579,0.722507497238877,0.25997540671064,0.00784313725490196
"267",164.884225725426,-20.9173202085856,0,0.419639831769845,0.122042341220423,0.25038479832133,0.787322215955677,0.107824444868619,0.00784313725490196
"273",164.510773802842,-20.3666718929582,0,0.0728395026234101,0.218555417185554,0.320885541468336,0.837187710130099,0.0433975206720754,0.00784313725490196
"276",165.113952104919,-21.3097040732363,0,0.700766559364936,0.0367372353673724,0.30730540872551,0.762551368358503,0.0958263993635553,0.00392156862745098
"280",165.009517351919,-20.9675952125501,0,0.430624292039133,0.240348692403487,0.282509866706808,0.81373442720618,0.0837253503353589,0.00784313725490196
"283",164.849622610382,-20.9818577330068,0,0.559284050104563,0.11892901618929,0.2533028840638,0.76927527367718,0.187786669254235,0.00784313725490196
"286",165.12868317423,-21.0025508090544,0,0.298075391910298,0.064134495641345,0.230215061117744,0.741208290414229,0.0519132109568339,0.00784313725490196
"314",164.486057548086,-20.3074798232589,0,0.00984958379907112,0.00560398505603985,0.421506600310266,0.817173413467188,0.0209907072087319,0.00784313725490196
"323",167.175570641892,-21.0124561557581,0,0.234837958466736,0.0211706102117061,0.431866461166094,0.825827477866377,0.00232317468323166,0
"325",166.006336010533,-21.6518620934388,0,0.253161963838462,0.307596513075965,0.351363995930191,0.882839820841115,0.107381528770071,0.00784313725490196
"339",164.038222928066,-20.2803569052326,0,0.113765218854481,0.00062266500622665,0.434223341342522,0.818564853042128,0.0109044789382709,0.00784313725490196
"342",165.928944974331,-21.6563877156218,0,0.271998551311089,0.0460772104607721,0.313834385123045,0.818180845372546,0.0432019914558611,0.00784313725490196
"347",164.639746814991,-20.4614333711592,0,0.0550777184624309,0.39227895392279,0.275790036906594,0.898190780450948,0.202014613384016,0.00784313725490196
"373",167.116775485174,-20.9773745000129,0,0.302017440171976,0.0199252801992528,0.461963666824957,0.825337943831997,0.00296008693913049,0
"377",166.332912831093,-21.8246632091934,0,0.240710216327199,0.36052303860523,0.250966308658939,0.797568329610472,0.188162428536264,0.00392156862745098
"384",164.616765525856,-20.8828263668439,0,0.602108082273293,0.024906600249066,0.431866461166094,0.825231063738633,0.0160992724760464,0.00784313725490196
"421",167.885881536631,-21.4551225880373,0,0.0920685602702018,0.0423412204234122,0.508583307844229,0.829877189099958,0.0072624198540909,0
